,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.007147932052612304,0.0005937576293945313,0.3333333333333333,0.3333333333333333,0.1,"(50, 50)",1,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 1}",3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.003081195116467766,0.0005123090495256715,0.0,0.0
1,0.007640457153320313,0.0004237651824951172,0.38,0.37166666666666665,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",2,0.4,0.44166666666666665,0.4,0.375,0.36666666666666664,0.35833333333333334,0.4,0.35,0.3333333333333333,0.3333333333333333,0.001642804638253946,0.00012324018481017093,0.026666666666666686,0.03749073959733997
2,0.011452388763427735,0.0005383491516113281,0.46,0.44000000000000006,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",1,0.43333333333333335,0.4666666666666667,0.5,0.5166666666666667,0.36666666666666664,0.36666666666666664,0.4666666666666667,0.425,0.5333333333333333,0.425,0.004651590704402152,0.0002494691979294245,0.05734883511361752,0.049833054625753534
3,0.0061431884765625,0.0006424427032470703,0.3333333333333333,0.3333333333333333,0.1,"(50,)",1,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 1}",3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0027904643298346118,0.00043318438486343434,0.0,0.0
4,0.007044553756713867,0.00042324066162109376,0.3333333333333333,0.3333333333333333,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 2}",3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0020705535536752347,9.529521114906267e-05,0.0,0.0
5,0.009500408172607422,0.0003608226776123047,0.3333333333333333,0.3333333333333333,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 3}",3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.00234711012280045,0.00010577529403089925,0.0,0.0
6,0.004181194305419922,0.0003176212310791016,0.3333333333333333,0.3333333333333333,0.1,"(25,)",1,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 1}",3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0005423625659036616,7.44358535443961e-05,0.0,0.0
7,0.008417415618896484,0.0007497787475585938,0.3333333333333333,0.3333333333333333,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 2}",3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.004559373088847258,0.0007030649055243594,0.0,0.0
8,0.014892816543579102,0.0005681991577148437,0.31333333333333335,0.2916666666666667,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 3}",15,0.26666666666666666,0.25,0.3,0.35,0.3333333333333333,0.18333333333333332,0.36666666666666664,0.3333333333333333,0.3,0.3416666666666667,0.0032955384616667506,0.00025210463980271006,0.03399346342395189,0.0649786289653931
9,0.0047228336334228516,0.0003069400787353516,0.3333333333333333,0.3333333333333333,0.1,"(25, 25)",1,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 1}",3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.00034516532168972583,6.784841511062492e-06,0.0,0.0
