,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,6.257482957839966,0.0009704113006591796,0.3438697318007663,0.42266401932217673,0.1,"(50, 50)",2,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'km__n_clusters': 2}",44,0.38571428571428573,0.4028776978417266,0.36666666666666664,0.4352517985611511,0.2857142857142857,0.4448441247002398,0.3526570048309179,0.42891278375149344,0.3285024154589372,0.4014336917562724,0.3097722400806498,0.00011887287354266477,0.03462911740789073,0.017502466362930392
1,6.183021163940429,0.0011272430419921875,0.3946360153256705,0.8742700463285284,0.1,"(50, 50)",5,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'km__n_clusters': 5}",35,0.47619047619047616,0.8764988009592326,0.38571428571428573,0.8393285371702638,0.2571428571428571,0.8908872901678657,0.48792270531400966,0.8721624850657109,0.3671497584541063,0.8924731182795699,0.38683677177320586,0.00029590414066777034,0.08385557971705741,0.019171869210947018
2,6.332712841033936,0.0010284423828125,0.46551724137931033,0.9908967449696158,0.1,"(50, 50)",10,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'km__n_clusters': 10}",20,0.49047619047619045,0.9952038369304557,0.36666666666666664,0.9748201438848921,0.32857142857142857,0.9976019184652278,0.6038647342995169,0.989247311827957,0.5410628019323671,0.997610513739546,0.40527814400985956,3.1989199251509756e-05,0.1038739833775972,0.008599567616893542
3,6.611798858642578,0.0010776042938232422,0.4942528735632184,0.993062754097797,0.1,"(50, 50)",15,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'km__n_clusters': 15}",4,0.6,0.9976019184652278,0.40476190476190477,1.0,0.38571428571428573,0.9916067146282974,0.5458937198067633,0.998805256869773,0.5362318840579711,0.977299880525687,0.5629424956726039,0.0001044939864863859,0.08430960184472401,0.008393973625588821
4,6.941438388824463,0.001050853729248047,0.49712643678160917,0.9956868913471373,0.1,"(50, 50)",20,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'km__n_clusters': 20}",2,0.5952380952380952,0.9904076738609112,0.4380952380952381,0.9988009592326139,0.3380952380952381,0.9940047961630696,0.5652173913043478,1.0,0.5507246376811594,0.995221027479092,0.385274546604336,0.0001265954251989449,0.09598605274089153,0.0034414222544013697
5,8.115107011795043,0.0012145519256591796,0.48563218390804597,0.945683883001126,0.1,"(50, 50)",25,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'km__n_clusters': 25}",8,0.49047619047619045,0.988009592326139,0.49047619047619045,0.9124700239808153,0.38095238095238093,0.9952038369304557,0.5410628019323671,0.9366786140979689,0.5265700483091788,0.8960573476702509,1.6222211239474447,0.0001332745270487168,0.05617038900172734,0.039725910474183626
6,7.048432636260986,0.0011340141296386718,0.4722222222222222,0.8696561030745296,0.1,"(50, 50)",30,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'km__n_clusters': 30}",16,0.5285714285714286,0.8633093525179856,0.45714285714285713,0.8705035971223022,0.3333333333333333,0.7697841726618705,0.5700483091787439,0.9629629629629629,0.47342995169082125,0.8817204301075269,0.22754165843676863,7.070782819134307e-05,0.08038911822645477,0.06142820209339984
7,7.012284421920777,0.001188802719116211,0.48563218390804597,0.9107277618765203,0.1,"(50, 50)",35,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'km__n_clusters': 35}",8,0.6095238095238096,0.988009592326139,0.4142857142857143,0.841726618705036,0.3380952380952381,0.9688249400479616,0.5217391304347826,0.8207885304659498,0.5458937198067633,0.9342891278375149,0.44466386204600605,0.0002937629376547395,0.09730548851046719,0.06745831972525193
8,7.1400104522705075,0.0011330127716064453,0.4952107279693487,0.8824261021290495,0.1,"(50, 50)",40,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'km__n_clusters': 40}",3,0.5238095238095238,0.8657074340527577,0.49523809523809526,0.8669064748201439,0.36666666666666664,0.9184652278177458,0.5700483091787439,0.8506571087216248,0.5217391304347826,0.910394265232975,0.4283402016497359,0.00012062843555696143,0.06883487840962964,0.026872582175842208
9,3.187146711349487,0.0008646965026855469,0.34770114942528735,0.4066080468958167,0.1,"(50,)",2,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'km__n_clusters': 2}",41,0.38095238095238093,0.39688249400479614,0.32857142857142857,0.41247002398081534,0.3,0.4088729016786571,0.36231884057971014,0.4062126642771804,0.3671497584541063,0.40860215053763443,0.053011299962579916,0.00024929479866670466,0.02951388549483087,0.005257594475002288
