,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.07773418426513672,0.0011267662048339844,0.38122605363984674,0.38122620183423156,0.1,"(50, 50)",2,"{'gmm__n_components': 2, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",5,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.02893892122337526,0.00015308203257725545,0.00033759931841486414,8.42161451151526e-05
1,0.1027453899383545,0.0021678447723388673,0.13218390804597702,0.1321832856295609,0.1,"(50, 50)",5,"{'gmm__n_components': 5, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",169,0.13333333333333333,0.13189448441247004,0.13333333333333333,0.13189448441247004,0.13333333333333333,0.13189448441247004,0.13043478260869565,0.13261648745519714,0.13043478260869565,0.13261648745519714,0.028424488540769555,0.0008449348259900977,0.0014179171373424405,0.0003537078094836545
2,0.17038893699645996,0.002322816848754883,0.38122605363984674,0.38122620183423156,0.1,"(50, 50)",10,"{'gmm__n_components': 10, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",5,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.02532315476012324,0.0007250469883993541,0.00033759931841486414,8.42161451151526e-05
3,0.3610546588897705,0.004738330841064453,0.3170498084291188,0.317553269212587,0.1,"(50, 50)",15,"{'gmm__n_components': 15, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",98,0.38095238095238093,0.37170263788968827,0.21428571428571427,0.23381294964028776,0.38095238095238093,0.381294964028777,0.22705314009661837,0.21983273596176822,0.38164251207729466,0.3811230585424134,0.08853660041456107,0.0033261599279452133,0.07874134109086808,0.07429403696462136
4,0.3217624187469482,0.002926015853881836,0.33620689655172414,0.34036426772560446,0.1,"(50, 50)",20,"{'gmm__n_components': 20, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",83,0.34285714285714286,0.37889688249400477,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3715651135005974,0.1932367149758454,0.18876941457586618,0.1198124152179266,0.0002778793485816708,0.07263975565164314,0.0758813527543897
5,0.2987640380859375,0.0032712459564208985,0.36302681992337166,0.3738067610427787,0.1,"(50, 50)",25,"{'gmm__n_components': 25, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",71,0.38571428571428573,0.3824940047961631,0.37142857142857144,0.36810551558752996,0.34285714285714286,0.3764988009592326,0.38164251207729466,0.37753882915173237,0.3333333333333333,0.3643966547192354,0.1116417779533597,0.00026653335792913474,0.02104987925877099,0.0065984530925626865
6,0.23384699821472169,0.0039885520935058595,0.38122605363984674,0.38122620183423156,0.1,"(50, 50)",30,"{'gmm__n_components': 30, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",5,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.08824128986548647,0.00011764775838198326,0.00033759931841486414,8.42161451151526e-05
7,0.19988679885864258,0.004417562484741211,0.39080459770114945,0.38385893435789004,0.1,"(50, 50)",35,"{'gmm__n_components': 35, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",1,0.42857142857142855,0.3824940047961631,0.38095238095238093,0.381294964028777,0.38095238095238093,0.38609112709832133,0.38164251207729466,0.3835125448028674,0.38164251207729466,0.3859020310633214,0.052947198671269236,0.0002543493652387918,0.01895372894581072,0.001882226918256965
8,0.13703560829162598,0.0049952507019042965,0.38122605363984674,0.38122620183423156,0.1,"(50, 50)",40,"{'gmm__n_components': 40, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",5,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.016249570020627845,0.0003896908199701431,0.00033759931841486414,8.42161451151526e-05
9,0.05524601936340332,0.0008366107940673828,0.23180076628352492,0.24473926235355803,0.1,"(50,)",2,"{'gmm__n_components': 2, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",121,0.2523809523809524,0.2637889688249401,0.23333333333333334,0.2422062350119904,0.21904761904761905,0.23860911270983212,0.24154589371980675,0.24253285543608125,0.21256038647342995,0.23655913978494625,0.026700049358176783,4.139512326642874e-05,0.014512530453220953,0.009784364215792646
10,0.07012510299682617,0.0019151687622070313,0.3726053639846743,0.37715032275255067,0.1,"(50,)",5,"{'gmm__n_components': 5, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",61,0.3619047619047619,0.3800959232613909,0.35714285714285715,0.37170263788968827,0.38095238095238093,0.37290167865707435,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.37992831541218636,0.00415294197419308,0.001095411564735359,0.010840933887298034,0.003997616345919449
11,0.14094972610473633,0.0019152641296386718,0.36302681992337166,0.36443705250853087,0.1,"(50,)",10,"{'gmm__n_components': 10, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",71,0.3380952380952381,0.35251798561151076,0.3333333333333333,0.328537170263789,0.38095238095238093,0.3752997601918465,0.38164251207729466,0.3847072879330944,0.38164251207729466,0.3811230585424134,0.019402237859505636,0.0002430616504772254,0.022459795317189717,0.02115735976262224
12,0.28165421485900877,0.002337026596069336,0.34674329501915707,0.3697317414885296,0.1,"(50,)",15,"{'gmm__n_components': 15, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",79,0.38095238095238093,0.3824940047961631,0.36666666666666664,0.36211031175059955,0.22380952380952382,0.3645083932853717,0.38164251207729466,0.3643966547192354,0.38164251207729466,0.3751493428912784,0.05708933397604918,0.0001707490812265133,0.06195270365590945,0.007823790363116447
13,0.2759672164916992,0.00277099609375,0.22701149425287356,0.21573880680401913,0.1,"(50,)",20,"{'gmm__n_components': 20, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",126,0.18095238095238095,0.21342925659472423,0.22380952380952382,0.20503597122302158,0.23333333333333334,0.2038369304556355,0.25120772946859904,0.22461170848267623,0.2463768115942029,0.23178016726403824,0.09683708875188413,0.00017429585944740643,0.025045296403641473,0.010932456282672394
14,0.29663572311401365,0.0033196449279785157,0.29693486590038315,0.34104673250646794,0.1,"(50,)",25,"{'gmm__n_components': 25, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",106,0.38095238095238093,0.3932853717026379,0.28095238095238095,0.35731414868105515,0.3047619047619048,0.34292565947242204,0.3285024154589372,0.3548387096774194,0.18840579710144928,0.25686977299880526,0.11974185330054032,0.00019177692188162171,0.06337660927841338,0.04532772609969965
15,0.2501023769378662,0.005865335464477539,0.38122605363984674,0.3852969237513215,0.1,"(50,)",30,"{'gmm__n_components': 30, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",5,0.38095238095238093,0.3908872901678657,0.38095238095238093,0.3824940047961631,0.38095238095238093,0.3824940047961631,0.38164251207729466,0.3835125448028674,0.38164251207729466,0.3870967741935484,0.08886824572964802,0.002038655753016701,0.00033759931841486414,0.0032676712152745315
16,0.1566023349761963,0.004610395431518555,0.33045977011494254,0.3556268963323964,0.1,"(50,)",35,"{'gmm__n_components': 35, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",87,0.23809523809523808,0.35731414868105515,0.3619047619047619,0.37050359712230213,0.38095238095238093,0.37170263788968827,0.357487922705314,0.36081242532855434,0.3140096618357488,0.31780167264038234,0.037218842561375635,0.0009733695212539331,0.05124716509845567,0.019698882058726955
17,0.12924718856811523,0.004744434356689453,0.1867816091954023,0.1975976208280687,0.1,"(50,)",40,"{'gmm__n_components': 40, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",157,0.20476190476190476,0.1618705035971223,0.22380952380952382,0.2182254196642686,0.20476190476190476,0.2685851318944844,0.09178743961352658,0.18040621266427717,0.20772946859903382,0.15890083632019117,0.015169470980145866,0.0004921828422415875,0.04777106702509311,0.04131378792550545
18,0.04818086624145508,0.0010546207427978515,0.38122605363984674,0.38122620183423156,0.1,"(25,)",2,"{'gmm__n_components': 2, 'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1}",5,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.02139030830551681,0.00033325069280096124,0.00033759931841486414,8.42161451151526e-05
19,0.06330585479736328,0.0012219905853271484,0.22509578544061304,0.22509648195422155,0.1,"(25,)",5,"{'gmm__n_components': 5, 'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1}",130,0.22380952380952382,0.22541966426858512,0.22380952380952382,0.22541966426858512,0.22380952380952382,0.22541966426858512,0.22705314009661837,0.22461170848267623,0.22705314009661837,0.22461170848267623,0.008287367325284933,0.00015646752893339337,0.0015867167965498725,0.0003958158820412308
